"userid",supportdev,smartmoney,startupcreation,fosteringedu,changeculture,"fundingimpact","supportimpact","last_updated","last_retrieved"
"02abc5e9-9994-477a-b863-8581cb859c18",4,4,3,5,5,"0","Yes","2016-05-24 18:06:35","11:00:21"
"051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc",,,,,,"","","2016-07-29 11:04:57","11:00:22"
"056a6b8c-9f92-42e8-85cf-2876c20bea1d",3,4,4,4,4,"No","No","2016-08-05 09:03:46","11:00:22"
"07987d94-587c-41f1-9ad5-b7ac8e9ccc75",3,4,4,4,4,"No","0","2016-06-20 09:49:09","11:00:23"
"0a1a2285-898f-45e0-a1fd-f3544002ccd3",5,5,5,4,4,"Yes","Yes","2016-06-22 17:50:04","11:00:26"
"0b98440a-75bd-4bee-81da-579008b46c14",4,4,3,4,4,"Yes","Yes","2016-05-30 07:33:11","11:00:27"
"0d2ea2dd-4f9c-4bfc-a1a6-b653f5257278",,,,,,"","","2016-06-12 22:00:31","11:00:27"
"0fea6e41-5a77-4c60-b217-caca963551f7",5,3,3,3,3,"0","0","2016-07-25 11:23:59","11:00:30"
"161f5f8a-b885-44ef-816a-18d3d755bce6",4,3,4,3,5,"Yes","Yes","2016-06-07 11:49:24","11:00:33"
"179a9cf1-40a4-42d6-acb5-bf84b36b3781",5,3,4,3,4,"No","0","2016-05-31 12:15:49","11:00:34"
"1a2952f3-56ca-430b-b574-5b092006a8cb",0,5,5,3,5,"Yes","0","2016-06-13 09:26:03","11:00:36"
"227350ae-26b5-4257-88ed-ac04f7528591",0,0,0,0,0,"0","0","2016-06-20 22:43:29","11:00:39"
"23d19ac0-998b-45ef-bac7-d80109da8fdd",5,5,5,5,5,"Yes","Yes","2016-07-04 18:12:10","11:00:39"
"2629e5a4-ffbb-4c04-8da2-46932180dc38",5,5,5,4,4,"Yes","Yes","2016-07-27 07:54:09","11:00:40"
"2745db0e-9490-4581-b6b3-094a346762b0",4,4,5,5,5,"No","0","2016-07-13 15:07:46","11:00:41"
"2bae9e09-eae0-43ab-b942-61ca41b897c5",5,5,5,5,5,"Yes","Yes","2016-06-20 19:50:52","11:00:43"
"2c07770e-a5dc-4fbe-b853-4757ef520df8",4,4,4,3,3,"Yes","Yes","2016-06-20 14:14:12","11:00:43"
"2e2b68b7-e5d2-428c-8868-95e07fbcaf92",4,3,5,4,4,"Yes","Yes","2016-05-30 08:04:12","11:00:45"
"30a85a1e-026b-4f7b-b262-05475fd7736e",4,0,4,3,4,"0","Yes","2016-07-05 19:28:27","11:00:48"
"32565e05-1c9f-4f51-9b33-9e1bd47f975f",5,5,5,5,5,"Yes","No","2016-06-21 11:21:34","11:00:49"
"32dd93f5-3159-4ed2-a0a1-466e30973b6d",4,4,3,4,3,"Yes","Yes","2016-06-20 18:59:50","11:00:50"
"330cd436-1a1b-48b4-8cc4-716ab56c0cde",5,4,4,5,3,"No","Yes","2016-07-14 07:51:00","11:00:50"
"337366f6-3a4a-4fd3-8652-c22a157d763c",5,3,4,4,3,"Yes","Yes","2016-05-24 18:06:35","11:00:51"
"3444b5e1-859e-43f6-86fb-c15de1aeea51",0,0,4,4,4,"0","0","2016-08-02 16:25:17","11:00:52"
"3571d30b-df80-471a-938b-83f7bd1d0c25",1,0,0,1,1,"0","Yes","2016-07-15 08:39:11","11:00:53"
"3919e4f2-60a1-4a53-9a3e-736b32a8fdb2",4,5,5,5,5,"0","0","2016-07-26 09:15:11","11:00:55"
"3c077ea0-2dde-4302-8974-c3398559b1f8",5,5,5,4,4,"Yes","Yes","2016-05-31 08:49:55","11:00:57"
"3c8c63a7-c1bd-4621-84b3-22beee312482",5,1,3,4,1,"0","Yes","2016-07-25 20:24:29","11:00:58"
"3e264f59-f5a0-4adb-8fea-e03ff2ca0091",4,3,4,4,5,"Yes","Yes","2016-06-01 10:55:47","11:00:58"
"3fe6a21a-c23d-4723-b4f6-44a06a78959f",4,4,5,4,5,"Yes","Yes","2016-07-26 11:15:17","11:00:59"
"47be4b13-7b05-4957-89da-aaf388cfec91",4,3,4,3,4,"Yes","Yes","2016-06-29 07:31:32","11:01:02"
"49f89dfe-9d0f-491e-b443-479c63f385f0",4,1,4,5,4,"Yes","Yes","2016-07-11 20:21:55","11:01:03"
"4b5ca0da-6d85-4958-853d-ee3d1171e291",1,1,1,1,1,"Yes","Yes","2016-07-15 08:30:09","11:01:04"
"4c7168fd-6943-4be6-baf5-d27d90a9b62a",4,4,4,5,5,"Yes","Yes","2016-05-30 08:01:33","11:01:04"
"5d9356b7-4d1d-4f94-b6a7-2d3a2d3a70af",5,1,4,3,4,"No","Yes","2016-06-20 17:41:10","11:01:12"
"5ecfdd4c-06f2-48a1-af19-c69f0e6702a1",3,3,2,2,3,"0","0","2016-07-25 10:20:46","11:01:13"
"5ee0bd9d-6557-4638-be26-110f7b0f4a7c",4,4,5,4,4,"Yes","0","2016-06-13 12:00:09","11:01:13"
"5f689f48-df76-41af-976c-d00cbda2a9bb",3,2,5,3,3,"No","Yes","2016-06-16 14:54:57","11:01:14"
"6607952c-0ad4-405c-869c-ee9852f0f80d",4,4,4,3,4,"Yes","Yes","2016-07-15 06:01:26","11:01:16"
"67448d3b-cf0a-4fc2-bd05-19c05e96ceee",4,4,3,4,3,"0","No","2016-05-26 08:09:08","11:01:17"
"674bb3ee-58f4-4432-a0e2-d2da757db935",5,3,3,5,4,"0","Yes","2016-07-21 14:22:35","11:01:18"
"67f2f506-e693-43a1-9392-632739ed7e8e",4,3,5,4,4,"No","0","2016-06-20 07:42:52","11:01:18"
"6b2c1275-40c5-498c-8e00-ddad436f0253",4,4,4,4,4,"No","Yes","2016-07-01 12:50:43","11:01:19"
"6bdf30c6-fa40-4aa3-92c4-4c9c89e4537a",3,3,3,3,4,"0","Yes","2016-05-31 10:03:32","11:01:20"
"6c44bc32-8556-4773-a673-cc9464cb5e15",3,3,3,3,3,"0","0","2016-07-01 12:24:28","11:01:20"
"6dc7512b-3893-4df6-b752-8092db153e47",3,3,3,4,2,"Yes","Yes","2016-05-31 12:21:53","11:01:21"
"70c62fb6-636d-4f24-8bfd-2b18b76b8a1f",3,2,2,2,3,"No","No","2016-06-21 06:39:31","11:01:22"
"727971f1-b640-40f3-a82f-81b8e9fbaff3",3,4,4,0,5,"0","0","2016-06-14 13:40:49","11:01:22"
"755348e2-9012-40f9-a4cc-37843c054d9f",4,4,4,4,4,"Yes","Yes","2016-05-31 10:02:06","11:01:24"
"773fa5d5-a347-48bb-a835-79c651aa3df7",4,4,5,3,5,"Yes","Yes","2016-07-13 18:07:15","11:01:24"
"813a90b4-5502-4263-9ee5-dacc5e296a30",4,4,4,4,4,"No","0","2016-06-13 13:45:53","11:01:29"
"82007eab-2ac9-43f1-8322-332f3549984a",0,0,0,0,0,"No","0","2016-06-20 08:45:33","11:01:30"
"8acea184-fd78-4325-8764-5ed85f550118",3,2,3,3,3,"No","No","2016-06-02 11:29:35","11:01:35"
"8bcb3516-4b03-4446-95fc-951ef86a39fd",5,3,5,3,4,"0","Yes","2016-06-14 17:02:38","11:01:35"
"8ce38e2e-1851-480f-b443-534513feba4d",4,3,4,2,3,"0","0","2016-05-30 10:30:38","11:01:36"
"8e4e97d3-935d-493e-9b3d-383a5ca9bea8",,,,,,"","","2016-07-25 16:39:11","11:01:37"
"8e78bc3b-c8b8-4cf8-898e-234cedb9afd3",3,3,3,3,3,"0","No","2016-06-13 12:51:26","11:01:37"
"948a9ffc-8441-4ef6-906d-8d62c5fa42b7",4,3,4,3,4,"Yes","Yes","2016-06-21 07:09:22","11:01:40"
"94bb597b-fb77-4394-83cf-d75aa92ad235",4,5,5,3,2,"0","Yes","2016-07-25 09:14:30","11:01:40"
"95844936-77b3-41de-99d6-93eafd799de4",4,3,4,3,4,"0","Yes","2016-06-16 08:42:10","11:01:41"
"9b91968d-e650-4e65-b9e0-e83f434f1eab",5,4,3,4,5,"0","0","2016-05-31 09:07:25","11:01:42"
"9dd7b3cf-5cf8-4a5a-9c17-831cd6e0f83b",3,3,4,2,3,"Yes","No","2016-06-14 10:03:55","11:01:43"
"9f3a679b-1cc6-4777-8d22-0bac96eb5f5e",0,0,0,0,0,"0","0","2016-07-14 13:03:53","11:01:44"
"a04ebd0a-36cd-408c-80b7-be9742b73c58",4,2,3,0,4,"No","Yes","2016-07-08 13:03:41","11:01:44"
"a747f7ed-0a66-44bd-85a2-3dc11cb2eb57",4,3,4,3,4,"No","Yes","2016-05-24 18:06:35","11:01:47"
"a965a09f-2920-4ff6-aa7a-40075ecde0c3",4,4,4,5,4,"No","Yes","2016-07-29 10:38:07","11:01:48"
