"userid","challengeone","challengetwo","challengethree",evaluatemarketsize,evaluateprofitability,evaluatesocialimpact,evaluatevalidation,evaluaterelationships,evaluatepassionskillset,evaluateaccessfinancing,evaluateregulatory,"environmentalimpact","consideredclimatetech","whyclimatetech","currentclimatetech","yescurrentclimatetech","opportunitiesclimatetech","attractiveclimatetech","last_updated","last_retrieved"
"00663fdd-eaf7-4869-8388-180694397c14","WORKING TOOLS (SERVERS , COMPUTERS )","FUND (Financing the operations)","Suppoort from the government",5,4,5,4,5,5,5,5,"yes","yes","It is friendly to the environment, I have moved to information system so as ill involve technology to solve this global  problem","yes","we are looking for a way to use technology to solve the global problem","Because of those problem there are opportunity of solving and getting recognition","Educate people  the need of improving climate  condition, need of positivist

Providing solution using the current technology.","2016-08-03 13:06:24","11:00:21"
"0338f765-8d07-4345-ae88-31b460d9fbf0","lack of promotion and market of product they made","lack of capital, high interest rate and no grace period","little government support especially on innovation sector",4,5,5,4,5,5,5,4,"yes","yes","Trying to reach as many people as possible especially from rural areas by using renewable energyTrying to reach as many people as possible especially from rural areas by using renewable energy","yes","Trying to involve as many people as possible to involved","renewable energy","financial","2016-08-18 13:15:19","11:00:21"
"0651306f-0cd7-418d-a021-b121ef437802","Working capital","Machinery and technology for mixing","n/a",5,5,5,5,5,5,5,5,"no","no","no interest","no","","renewable energy","financial support","2016-08-26 09:06:00","11:00:23"
"0873507b-572b-4018-93f7-124dbd53b438","infrastructure for practicing","n/a","n/a",5,5,5,5,5,5,4,5,"yes","yes","because they are so many opportunities on this","yes","we look at different economic opportunities in the climate sector","to rich my goals","financial","2016-08-19 10:14:07","11:00:24"
"09303ca5-9923-467b-9ac4-78617e71ce58","GOVERNMENT SUPPORT","GOVERNMENT SUPPORT","GOVERNMENT SUPPORT",3,3,5,3,3,,,,"","","","","","","","2016-07-28 19:38:15","11:00:24"
"096573df-3dae-43cc-8300-a0c285138f57","Formalizing the business","Scaling up and getting funds for it","Education",5,5,5,5,5,5,5,5,"yes","no","It is not in my field of interest","no","","Training","n/a","2016-08-09 07:20:10","11:00:24"
"0aac25b5-5869-46fb-a416-27be3190df23","Connection","Capital","Government",5,,,,,,,,"","","","","","","","2016-07-20 16:29:04","11:00:26"
"0b50a813-f22d-4f0b-a925-2a5ffc81ffb7","Funding","Marketing","Tech Adaptations",5,5,4,5,5,5,4,3,"no","no","Don't have ideas","no","","NONE","No idea","2016-08-15 18:25:47","11:00:27"
"0e063a4d-10bd-4587-ba8e-cd6530af6d93","Talent is one challenge, its not easy to get competent candidates who are free to hire, especially for startups.","Processes in the government are longer, thus its harder to work for the government","N/A",5,4,5,4,4,5,4,5,"yes","yes","My previous venture, was into renewable energy biogas. I see climate more as health, as more people die by indoor pollution, in Africa second to HIV/AIDS, Thus its important to invest into that sector","no","","Renewable energy and cleaner alternative to energy, especially at the last mile level","Better financing for the sector, and improvement of incentive for commercial production of areas like electricity. Will significantly improve the sector.","2016-09-01 12:05:36","11:00:28"
"1059217b-58ff-4f0f-956d-f4eae737e9b6","Marketing","Networking","n/a",5,5,5,5,5,5,5,5,"yes","no","I'm not interested","no","","None","Mentorship","2016-08-10 12:05:47","11:00:30"
"1151338f-f20f-4d68-bdd7-fa1bc3efc60c","Funding","Perceptions of youth and the entrepreneurship world","Lack of collateral",5,5,5,5,4,5,5,5,"yes","yes","To change with the world and capture a good market","no","","Conservation","Impact investment","2016-08-04 14:52:52","11:00:30"
"11e94b02-a042-45c1-99d7-e84ad66ed4ef","CAPITAL","CONNECTION","INFRASTRUCTURE",5,4,4,4,3,5,4,4,"yes","yes","conservation of the Environment and provide pure green-energy system","yes","provision of Solar based systems hence control of Required Climate Preservation","Energy and Agriculture","Business Incubation and Financial","2016-09-02 08:10:02","11:00:31"
"1292174a-b526-47ad-a302-ffa7b1da0e91","Power Rationing","Market Stability","Funds",5,5,5,5,5,5,5,5,"yes","yes","Diversifying my investment while making improvement of ecology","yes","end product of my produce is food for botany","Revenue , and Food for Animals","Funds,  Make environmental subject as compulsory to all levels","2016-09-05 14:00:57","11:00:32"
"12bf97bb-0ddc-4c1e-9dfd-6a11069db307","Taxation rates","Marketing","Relation to authorities",5,5,4,5,5,3,4,4,"yes","no","Don't have specific skill on it","no","","IT based services","Financial","2016-08-12 08:57:38","11:00:32"
"12f2e5c3-1fc7-4efd-84a4-4cbf371075d6","REACHING OUT CLIENTS","PROPER WORKING EQUIPMENTS","NOT ENOUGH TECHNICAL PERSONNEL",5,5,5,4,4,5,3,4,"yes","no","Its a very interesting are to venture but i haven't considered it yet because i'm really passionate on creating impacts to the society through children and most of the ventures taken have been focused on that direction so climate tech is something that hasn't crossed mind yet.","no","","The climate is a major problem and the ventures involved have a greater opportunities to grow really fast creating multiple job opportunities in the process.","I think financial support is more appropriate for the sector unlike other requires more attention to that and since most ventures have failed with financial support being key cause. Of course this goes hand in hand with business incubation.","2016-08-09 08:47:06","11:00:32"
"1357b9c4-de75-4df5-ac69-16fa8925bf20","Banking system","Taxation","n/a",5,3,5,5,5,4,3,1,"yes","yes","Banking system","no","","recycling","Experts who can give advise","2016-08-03 08:27:59","11:00:33"
"14a26054-eee2-4ec8-8b4f-7463861be812","Funding","Getting the right talent","Bureaucracy",5,5,0,5,5,5,4,4,"yes","yes","I do not know enough about climate change","no","","n/a","n/a","2016-09-02 12:18:46","11:00:33"
"16b9e91e-bfc7-4f6b-bfc5-5d3804fc1b44","Having Payment Processes (Payment system)","Having Payment Processes (Payment system)","Securing contracts with prospective customers,",5,4,5,5,4,5,4,4,"no","no","i have not paid attention on that sector","no","","I don't real see as i have not real paid attention on it.","Community sensitization is very important , the government should invest on it","2016-08-22 13:32:28","11:00:34"
