"","to","from","label.x","major","last_updated.x","degree","date_end.x","host_role","date_start.x","num_connections","num_interactions","amount","founder_status","investment_type","job_level","job_function","X","userid","group","label.y","date_start.y","date_end.y","formatted","latitude","longitude","placeid","street_address","route","intersection","political","country","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","administrative_area_level_5","colloquial_area","locality","ward","sublocality","neighborhood","premise","subpremise","postal_code","natural_feature","airport","park","point_of_interest","floor","establishment","parking","post_box","postal_town","room","street_number","bus_station","train_station","transit_station","last_updated.y","last_retrieved"
"1","00356290-bc2f-4720-8b4f-a0933b3a306b","b2779d39-11a3-4394-9cae-20bfca8281e7","invested in","","2016-06-20 18:59:50","","","","2015-09-01",NA,NA,30000,"","equity","","",735,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","BEIRUT DIGITAL DISTRICT, BEIRUT, LEBANON","2015-02-01","2015-11-01","8th Floor, Bdd1499, Nassif Yazigi Street,، بيروت، Lebanon",33.8915863,35.5054779,"ChIJkQVdiuEWHxURtgXwwO_0Sgg",NA,"",NA,NA,"Lebanon","","","",NA,NA,NA,"بيروت",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"2","00356290-bc2f-4720-8b4f-a0933b3a306b","b2779d39-11a3-4394-9cae-20bfca8281e7","invested in","","2016-06-20 18:59:50","","","","2015-09-01",NA,NA,30000,"","equity","","",736,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","JOUNIEH, MOUNT LEBANON, LEBANON","2015-02-01","2015-11-01","Jounieh, Lebanon",33.9877014,35.6389236,"ChIJuX5_JcRAHxURhKnn8u3UIgY",NA,"",NA,NA,"Lebanon","Mount Lebanon","Kesrouane","Haret Sakher",NA,NA,NA,"Jounieh",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"3","00356290-bc2f-4720-8b4f-a0933b3a306b","448c257e-bbf2-4a0b-9b00-c835999d9c59","worked at","","2016-05-24 18:06:35","","2015-11-01","","2015-10-01",NA,NA,NA,"","","advisor","technical",735,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","BEIRUT DIGITAL DISTRICT, BEIRUT, LEBANON","2015-02-01","2015-11-01","8th Floor, Bdd1499, Nassif Yazigi Street,، بيروت، Lebanon",33.8915863,35.5054779,"ChIJkQVdiuEWHxURtgXwwO_0Sgg",NA,"",NA,NA,"Lebanon","","","",NA,NA,NA,"بيروت",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"4","00356290-bc2f-4720-8b4f-a0933b3a306b","448c257e-bbf2-4a0b-9b00-c835999d9c59","worked at","","2016-05-24 18:06:35","","2015-11-01","","2015-10-01",NA,NA,NA,"","","advisor","technical",736,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","JOUNIEH, MOUNT LEBANON, LEBANON","2015-02-01","2015-11-01","Jounieh, Lebanon",33.9877014,35.6389236,"ChIJuX5_JcRAHxURhKnn8u3UIgY",NA,"",NA,NA,"Lebanon","Mount Lebanon","Kesrouane","Haret Sakher",NA,NA,NA,"Jounieh",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"5","00356290-bc2f-4720-8b4f-a0933b3a306b","c57c792f-085f-4e6f-9530-bd5a5cc832cb","accelerated/incubated","","2016-05-24 18:06:35","","2016-08-01","","2016-03-01",NA,NA,8800,"","debt","","",735,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","BEIRUT DIGITAL DISTRICT, BEIRUT, LEBANON","2015-02-01","2015-11-01","8th Floor, Bdd1499, Nassif Yazigi Street,، بيروت، Lebanon",33.8915863,35.5054779,"ChIJkQVdiuEWHxURtgXwwO_0Sgg",NA,"",NA,NA,"Lebanon","","","",NA,NA,NA,"بيروت",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"6","00356290-bc2f-4720-8b4f-a0933b3a306b","c57c792f-085f-4e6f-9530-bd5a5cc832cb","accelerated/incubated","","2016-05-24 18:06:35","","2016-08-01","","2016-03-01",NA,NA,8800,"","debt","","",736,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","JOUNIEH, MOUNT LEBANON, LEBANON","2015-02-01","2015-11-01","Jounieh, Lebanon",33.9877014,35.6389236,"ChIJuX5_JcRAHxURhKnn8u3UIgY",NA,"",NA,NA,"Lebanon","Mount Lebanon","Kesrouane","Haret Sakher",NA,NA,NA,"Jounieh",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"7","00356290-bc2f-4720-8b4f-a0933b3a306b","0de2eaaa-bee9-4452-816c-035e57756812","accelerated/incubated","","2016-05-24 18:06:35","","2015-11-01","","2015-09-01",NA,NA,30000,"","","","",735,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","BEIRUT DIGITAL DISTRICT, BEIRUT, LEBANON","2015-02-01","2015-11-01","8th Floor, Bdd1499, Nassif Yazigi Street,، بيروت، Lebanon",33.8915863,35.5054779,"ChIJkQVdiuEWHxURtgXwwO_0Sgg",NA,"",NA,NA,"Lebanon","","","",NA,NA,NA,"بيروت",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"8","00356290-bc2f-4720-8b4f-a0933b3a306b","0de2eaaa-bee9-4452-816c-035e57756812","accelerated/incubated","","2016-05-24 18:06:35","","2015-11-01","","2015-09-01",NA,NA,30000,"","","","",736,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","JOUNIEH, MOUNT LEBANON, LEBANON","2015-02-01","2015-11-01","Jounieh, Lebanon",33.9877014,35.6389236,"ChIJuX5_JcRAHxURhKnn8u3UIgY",NA,"",NA,NA,"Lebanon","Mount Lebanon","Kesrouane","Haret Sakher",NA,NA,NA,"Jounieh",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"9","00356290-bc2f-4720-8b4f-a0933b3a306b","55a27996-c51b-4c77-b04f-4c682bc39d96","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","both",735,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","BEIRUT DIGITAL DISTRICT, BEIRUT, LEBANON","2015-02-01","2015-11-01","8th Floor, Bdd1499, Nassif Yazigi Street,، بيروت، Lebanon",33.8915863,35.5054779,"ChIJkQVdiuEWHxURtgXwwO_0Sgg",NA,"",NA,NA,"Lebanon","","","",NA,NA,NA,"بيروت",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"10","00356290-bc2f-4720-8b4f-a0933b3a306b","55a27996-c51b-4c77-b04f-4c682bc39d96","founded","","2016-05-24 18:06:35","","","","",NA,NA,NA,"","","","both",736,"b7124aa7-a4d3-4725-9218-2c9c85c53d6b","organization","JOUNIEH, MOUNT LEBANON, LEBANON","2015-02-01","2015-11-01","Jounieh, Lebanon",33.9877014,35.6389236,"ChIJuX5_JcRAHxURhKnn8u3UIgY",NA,"",NA,NA,"Lebanon","Mount Lebanon","Kesrouane","Haret Sakher",NA,NA,NA,"Jounieh",NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
