"","userid","nodeid","group","label","date_start","date_end","formatted","latitude","longitude","placeid","street_address","route","intersection","political","country","administrative_area_level_1","administrative_area_level_2","administrative_area_level_3","administrative_area_level_4","administrative_area_level_5","colloquial_area","locality","ward","sublocality","neighborhood","premise","subpremise","postal_code","natural_feature","airport","park","point_of_interest","floor","establishment","parking","post_box","postal_town","room","street_number","bus_station","train_station","transit_station","last_updated","last_retrieved"
"4","02abc5e9-9994-477a-b863-8581cb859c18","90243e7b-63dc-4d15-b03c-75a8f72d0dcd","location","AUB BEIRUT LEBANON","","","Aub, Lebanon",33.902462,35.4821815,"ChIJ9_WcdNQWHxURxKInFNiB4Gw",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Jamiaa","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"5","02abc5e9-9994-477a-b863-8581cb859c18","ef42e748-8a19-4893-8e91-d3555fc7f0f2","location","AUB BEIRUT LEBANON","","","Aub, Lebanon",33.902462,35.4821815,"ChIJ9_WcdNQWHxURxKInFNiB4Gw",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Jamiaa","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"6","02abc5e9-9994-477a-b863-8581cb859c18","fb56b19b-88e5-47e3-b8d5-d143bdad5cc6","person","BEIRUT, LEBANON","","","Beirut, Lebanon",33.8886299,35.4954796,"ChIJj6eAWCEXHxURtDaY6bqCkXI",NA,"",NA,NA,"Lebanon","Beirut","Beirut","Msaytbeh","",NA,"","Beirut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-05-24 18:06:35","2016-10-24"
"7","02e3d025-189f-4f3c-a640-6a571558f695","4e45affd-fcf4-44af-ac81-4006869dd754","person","LEBANON","","","Lebanon",33.854721,35.862285,"ChIJraoihAIXHxURcPkAbAk0fcw",NA,"",NA,NA,"Lebanon","","","","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-06-21 07:13:11","2016-10-24"
"11","051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc","ad551cf4-b6ff-4aa8-8fda-f3efa31151cd","person","BRUMMANA, MOUNT LEBANON, LEBANON","","","Brummana, Lebanon",33.885273,35.6386871,"ChIJu7oqYRg8HxURjptat57yhgQ",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","Brummana","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-29 11:04:57","2016-10-24"
"12","051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc","c37920dd-d8c1-475f-94ec-6a54d1dd7f5c","location","BEIT MERI MOUNT LEBANON LEBANON","","","Beit Meri, Lebanon",33.8697777,35.6080856,"ChIJrwzzarM9HxURuNqfGACuGp4",NA,"",NA,NA,"Lebanon","Jabal Lubnan","Matn","","",NA,"","Beit Meri",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-29 11:04:57","2016-10-24"
"13","051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc","a3a4836e-4a65-4060-882e-5caa341daa96","location","SIN EL FIL MOUNT LEBANON LEBANON","","","Sin el Fil, Lebanon",33.8779678,35.5399551,"ChIJ760ntrMXHxURevuxivgB8y0",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","Sin el Fil","",NA,"","",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-29 11:04:57","2016-10-24"
"14","051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc","8b7f445b-6507-4224-a463-386d7901cbc1","location","BERYTECH TECHNOLOGICAL POLE ESIB BEIRUT MOUNT LEBANON LEBANON","","","East Suburbs, Beirut 11-7503, Lebanon",33.864975,35.5622215,"ChIJXZ7f7dYXHxURK_gCNYU2f3Q",NA,"",NA,NA,"Lebanon","Mount Lebanon","Matn","","",NA,"","Beirut",NA,NA,"","","","11-7503","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-29 11:04:57","2016-10-24"
"15","051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc","8cca45b7-277b-47e4-aa93-e5e321ff292c","location","SIOUFI BEIRUT LEBANON","","","Sioufi, Bayrut, Lebanon",33.8866043,35.5242386,"ChIJV4ryw1QWHxURvtG0uSXOObY",NA,"Sioufi",NA,NA,"Lebanon","Beirut","Beirut","","",NA,"","Bayrut",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-07-29 11:04:57","2016-10-24"
"16","056a6b8c-9f92-42e8-85cf-2876c20bea1d","c2460b34-3fde-42c4-af35-295117061b11","person","DAHR EL AIN, NORTH, LEBANON","","","Dahr El Ain, Lebanon",34.3917885,35.8479576,"ChIJm11tPCL3IRURrkJ6a9Tzwbw",NA,"",NA,NA,"Lebanon","North","Koura","","",NA,"","Dahr El Ain",NA,NA,"","","","","",NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,NA,"2016-08-05 09:03:46","2016-10-24"
