nodeid,date,num_people,userid,last_updated,last_retrieved,funding_amount
00356290-bc2f-4720-8b4f-a0933b3a306b,2015-07-01,,b7124aa7-a4d3-4725-9218-2c9c85c53d6b,2016-05-24 18:06:35,11:01:55,30000.0
00356290-bc2f-4720-8b4f-a0933b3a306b,2015-12-01,4.0,b7124aa7-a4d3-4725-9218-2c9c85c53d6b,2016-05-24 18:06:35,11:01:55,
00e1209b-bf8b-450a-b155-5b87d884abfd,2015-03-01,100.0,cb250e2a-97ba-4ff4-808d-48238158939a,2016-07-27 10:04:31,11:02:23,
0186d07d-4bfd-4083-91f4-ba1a875999f5,2016-05-01,200.0,0d2ea2dd-4f9c-4bfc-a1a6-b653f5257278,2016-06-12 22:00:31,11:00:27,
018be700-2d0b-46cc-9fc5-36833a233765,2014-09-01,21.0,417045da-232a-4fd9-ae37-aa9023cef832,2016-05-24 18:06:35,11:01:00,
01d59f2a-7551-4c92-b196-ea9d38498f49,2016-06-01,500.0,12f2e5c3-1fc7-4efd-84a4-4cbf371075d6,2016-08-09 08:47:06,11:00:32,
01faa677-d48b-49cb-bcae-6e03ceb73eb1,2015-06-01,12.0,417045da-232a-4fd9-ae37-aa9023cef832,2016-05-24 18:06:35,11:01:00,
02636252-70ae-4362-bcc2-bc02873b7a6e,2015-04-01,60.0,ab53fbbf-fec5-4565-a044-4c54107b3521,2016-08-09 09:45:06,11:01:49,
02678a9a-8c9b-4f40-b9df-a67b4b965e23,2016-01-01,3.0,913d303f-7e26-4376-a9cc-d113c7fc1d9a,2016-08-31 18:30:35,11:01:39,
02678a9a-8c9b-4f40-b9df-a67b4b965e23,2016-06-01,,913d303f-7e26-4376-a9cc-d113c7fc1d9a,2016-08-31 18:30:35,11:01:39,1200.0
0288632d-1a71-41bf-9191-288e6495f690,2012-12-01,10.0,b4e22b01-80a9-4978-a205-ec5cd0b4f1ca,2016-08-02 07:59:15,11:01:53,
0288632d-1a71-41bf-9191-288e6495f690,2013-12-01,4.0,b4e22b01-80a9-4978-a205-ec5cd0b4f1ca,2016-08-02 07:59:15,11:01:53,
0288632d-1a71-41bf-9191-288e6495f690,2014-12-01,4.0,b4e22b01-80a9-4978-a205-ec5cd0b4f1ca,2016-08-02 07:59:15,11:01:53,
0288632d-1a71-41bf-9191-288e6495f690,2015-12-01,4.0,b4e22b01-80a9-4978-a205-ec5cd0b4f1ca,2016-08-02 07:59:15,11:01:53,
042b11f2-3c90-4ffb-9238-a482335124af,2015-01-01,,56ae61ab-c709-4c01-b754-55e9d3ce7ffc,2016-07-04 12:51:47,11:01:09,
042b11f2-3c90-4ffb-9238-a482335124af,2015-12-01,1.0,56ae61ab-c709-4c01-b754-55e9d3ce7ffc,2016-07-04 12:51:47,11:01:09,
04b7950f-d49f-4c0f-914c-afd30b1fb552,2013-12-01,1.0,096573df-3dae-43cc-8300-a0c285138f57,2016-08-09 07:20:10,11:00:24,
04b7950f-d49f-4c0f-914c-afd30b1fb552,2014-12-01,2.0,096573df-3dae-43cc-8300-a0c285138f57,2016-08-09 07:20:10,11:00:24,
04b7950f-d49f-4c0f-914c-afd30b1fb552,2016-12-01,13.0,096573df-3dae-43cc-8300-a0c285138f57,2016-08-09 07:20:10,11:00:24,
052c8555-3bb5-468e-a02a-f4dab2edfac4,2015-11-01,800.0,94bb597b-fb77-4394-83cf-d75aa92ad235,2016-07-25 09:14:30,11:01:40,
05e979f8-bc25-422d-9b9e-6596cce5b42c,2015-05-01,8000.0,5e1f0be7-1629-499f-b84b-a400a5a5b6e6,2016-09-02 11:08:00,11:01:12,
06213147-ec3a-4918-ad5e-9d1b0495b332,2013-08-01,,bb78c124-3f42-43a9-b2df-a2c1a01f937b,2016-06-13 08:05:37,11:01:58,25000.0
06213147-ec3a-4918-ad5e-9d1b0495b332,2013-12-01,2.0,bb78c124-3f42-43a9-b2df-a2c1a01f937b,2016-06-13 08:05:37,11:01:58,
06213147-ec3a-4918-ad5e-9d1b0495b332,2014-12-01,3.0,bb78c124-3f42-43a9-b2df-a2c1a01f937b,2016-06-13 08:05:37,11:01:58,
06213147-ec3a-4918-ad5e-9d1b0495b332,2015-12-01,6.0,bb78c124-3f42-43a9-b2df-a2c1a01f937b,2016-06-13 08:05:37,11:01:58,
086640fe-d0fa-4532-92cf-2357f28af3b1,2014-09-01,1400.0,cbe12f2d-cbf7-414e-a151-7a92d1961d6c,2016-05-24 18:06:35,11:02:24,
08739f88-f7cc-43c2-82f8-05b4b850d933,2015-06-01,20.0,7306136d-bf62-45a1-baf3-ee203de940a9,2016-09-01 14:45:45,11:01:23,
08c96604-a973-4550-bf5c-232d327eb857,2014-02-01,30.0,c5780b52-06d5-4337-9603-23b0b150a281,2016-05-24 18:06:35,11:02:16,
08c96604-a973-4550-bf5c-232d327eb857,2014-03-01,20.0,c2e89f0b-70cb-4680-bcf4-e3f35e5fcf81,2016-05-24 18:06:35,11:02:07,
09afd664-e18d-49c7-92fb-f668a5303b40,2016-03-01,1.0,19fc1658-f1bb-4a86-8e34-29a7c3a322db,2016-09-07 08:34:45,11:00:35,5000.0
09c6d3fa-efcb-44b4-80b2-e0316d9b27e6,2013-07-01,1000.0,2341f249-cddc-424f-9304-90f41927a4b0,2016-08-11 15:10:54,11:00:39,
0a3a9ee1-6101-4c80-8136-823759e01b37,2015-10-01,20.0,8838089d-87b3-47d3-82b2-afea57a237b0,2016-08-18 12:45:39,11:01:32,
0a4ca3fb-baad-4098-9a71-14f0e3feb9c4,2014-10-01,,779b0237-8824-4499-bbd3-7ac20e0210b1,2016-08-12 10:12:35,11:01:25,5000.0
0a747fdd-c054-4220-8d14-b2b273545971,2015-06-01,20.0,417045da-232a-4fd9-ae37-aa9023cef832,2016-05-24 18:06:35,11:01:00,
0cb65751-23c6-4036-bf2a-770cedb79bd5,2015-12-01,0.0,227350ae-26b5-4257-88ed-ac04f7528591,2016-06-20 22:43:29,11:00:39,
0d5ec310-a146-422e-82af-c138b33eb449,2014-04-01,3.0,40fac33e-b5bc-4feb-a7c3-8e0fb27f7388,2016-07-27 08:37:41,11:01:00,
0df43603-5b65-4913-82ff-05b19643506f,2012-03-01,200.0,52379965-0fd2-4f2b-9bb7-93bcd1dadc44,2016-07-26 10:00:10,11:01:07,
0df43603-5b65-4913-82ff-05b19643506f,2014-11-01,4.0,cdadb780-abf7-4cc5-ad27-2faa2bedf5bb,2016-08-16 12:36:29,11:02:26,
0e1155b7-d4bc-4968-b634-01b224beb5ce,2009-12-01,2.0,95844936-77b3-41de-99d6-93eafd799de4,2016-06-16 08:42:10,11:01:41,
0e1155b7-d4bc-4968-b634-01b224beb5ce,2010-12-01,2.0,95844936-77b3-41de-99d6-93eafd799de4,2016-06-16 08:42:10,11:01:41,
0e1155b7-d4bc-4968-b634-01b224beb5ce,2011-12-01,2.0,95844936-77b3-41de-99d6-93eafd799de4,2016-06-16 08:42:10,11:01:41,
0e1155b7-d4bc-4968-b634-01b224beb5ce,2012-12-01,3.0,95844936-77b3-41de-99d6-93eafd799de4,2016-06-16 08:42:10,11:01:41,
0e1155b7-d4bc-4968-b634-01b224beb5ce,2013-12-01,4.0,95844936-77b3-41de-99d6-93eafd799de4,2016-06-16 08:42:10,11:01:41,
0e1155b7-d4bc-4968-b634-01b224beb5ce,2014-12-01,5.0,95844936-77b3-41de-99d6-93eafd799de4,2016-06-16 08:42:10,11:01:41,
0e1155b7-d4bc-4968-b634-01b224beb5ce,2015-12-01,8.0,95844936-77b3-41de-99d6-93eafd799de4,2016-06-16 08:42:10,11:01:41,
0e5f97a4-d817-4e78-a836-4220fd6dcbd4,2007-10-01,10.0,af8fa1ec-78cc-4a89-85ae-c4f4a4bd7940,2016-07-27 11:23:08,11:01:50,
0f19bfff-82a2-47c8-aaa0-6711be627fca,2015-12-01,6.0,948a9ffc-8441-4ef6-906d-8d62c5fa42b7,2016-06-21 07:09:22,11:01:40,
0f1bc006-b1f9-49e9-981b-d4871409058c,2015-12-01,,49f89dfe-9d0f-491e-b443-479c63f385f0,2016-07-11 20:21:55,11:01:03,
0fa63852-03f9-4808-8f10-d88c774c452f,2016-06-01,3.0,890dbb4b-89d8-4a9a-93e7-f7aeb03f8ef7,2016-09-02 08:42:59,11:01:33,12000.0
0fa63852-03f9-4808-8f10-d88c774c452f,2016-07-01,,890dbb4b-89d8-4a9a-93e7-f7aeb03f8ef7,2016-09-02 08:42:59,11:01:33,2000.0
107281ae-c552-4021-a2ac-68c6ad5ca839,2015-07-01,0.0,e8abe8a8-ba2b-4077-83f0-88802554d58c,2016-07-28 19:01:04,11:02:49,
116b382f-808d-46e1-b038-151b8b0ac58b,2014-12-01,3.0,2745db0e-9490-4581-b6b3-094a346762b0,2016-07-13 15:07:46,11:00:41,
116b382f-808d-46e1-b038-151b8b0ac58b,2015-12-01,4.0,2745db0e-9490-4581-b6b3-094a346762b0,2016-07-13 15:07:46,11:00:41,
11719792-3eb6-44f3-9ef7-add9522608b2,2016-06-01,200.0,d5de6219-eaaf-4fde-ad44-82dc31de61d9,2016-09-07 14:45:05,11:02:38,
126eee6a-59de-4d8f-b450-37a55d2e3bc1,2011-07-01,36.0,32c73fcf-f803-4240-9691-5b0743e48e18,2016-09-01 13:40:49,11:00:49,
127ef7dc-158d-4b02-a7af-712a4b642ae1,2014-09-01,1600.0,b8e1a440-9c51-4e17-90b8-1439d9c63733,2016-08-03 12:12:52,11:01:57,
12f5ddbb-cee4-4881-b7ef-4d28d31f17ae,2015-12-01,14.0,0b4790d1-4d7a-4493-a8a1-b293e512a57d,2016-05-24 18:06:35,11:00:27,400000.0
12f8c7c1-9401-45a9-b60b-1805411d31a8,2012-01-01,500.0,161f5f8a-b885-44ef-816a-18d3d755bce6,2016-06-07 11:49:24,11:00:33,
13c7bb3b-4d91-47c3-bfc7-01217cdf0f2f,2015-02-01,60.0,8fe78321-e6a9-4717-b591-9f50540dd7ab,2016-08-10 13:00:05,11:01:37,
14b13249-87b1-4ff5-a68a-b7f7f1e3365c,2015-12-01,200.0,a30dd7de-dec2-482b-bfd4-6a9c43203bb6,2016-09-07 14:04:00,11:01:45,
155ba914-26c4-4701-9786-2063c11a869b,2015-08-01,0.0,1a5e930f-bf85-46b3-ac80-6d82beb771d8,2016-07-28 18:33:54,11:00:37,
155ba914-26c4-4701-9786-2063c11a869b,2015-12-01,2.0,b4e22b01-80a9-4978-a205-ec5cd0b4f1ca,2016-08-02 07:59:15,11:01:53,
15a284a8-42ab-4ffc-a730-d76c3acfc9a7,2005-12-01,1.0,3584131f-9d40-4846-b91a-220494448812,2016-08-02 08:27:26,11:00:54,
15a284a8-42ab-4ffc-a730-d76c3acfc9a7,2006-12-01,6.0,3584131f-9d40-4846-b91a-220494448812,2016-08-02 08:27:26,11:00:54,
16565c19-68ec-48e3-b092-f911797fd24d,2015-01-01,60.0,f94277e1-83ab-4d76-822e-ca9412947487,2016-08-30 20:13:10,11:02:59,
16565c19-68ec-48e3-b092-f911797fd24d,2015-11-01,60.0,bc6d839a-e61f-4a0e-bdb3-9fcb03e65e44,2016-08-31 10:47:52,11:02:01,
1695fe47-a48a-4dac-b56c-a34fe723e55e,2016-03-01,20.0,57148bfd-f472-48cc-8d71-89ccad2306b8,2016-08-26 17:04:56,11:01:09,
