userid,incorporation,bank,credit,funding,hiring,office,exit,comments,last_updated,last_retrieved
00663fdd-eaf7-4869-8388-180694397c14,7.0,6.0,356.0,356.0,180.0,180.0,2000.0,Let the community be involved in solving the climate problem. as if they will be involved they gonna have feelings toward ownership,,2016-10-27 11:00:20.976870912
02abc5e9-9994-477a-b863-8581cb859c18,7.0,3.0,7.0,30.0,30.0,30.0,30.0,,,2016-10-27 11:00:21.238118912
0338f765-8d07-4345-ae88-31b460d9fbf0,17.0,7.0,90.0,365.0,90.0,30.0,7.0,many stakeholders to take initiative in education and provide financial support to small investors.,,2016-10-27 11:00:21.444116992
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,2.0,2.0,4.0,300.0,30.0,2.0,,,,2016-10-27 11:00:21.875623936
056a6b8c-9f92-42e8-85cf-2876c20bea1d,30.0,7.0,24.0,90.0,10.0,35.0,9999999.0,"for now we haven't met them in dahr el ein, we will meet them in tripoly soon",,2016-10-27 11:00:22.237839872
05adbcd0-c812-4a68-a295-2dce0a8a1cb7,20.0,2.0,100.0,180.0,30.0,30.0,30.0,,,2016-10-27 11:00:22.480904960
0651306f-0cd7-418d-a021-b121ef437802,25.0,3.0,0.0,0.0,60.0,180.0,0.0,n/a,,2016-10-27 11:00:23.065423872
07987d94-587c-41f1-9ad5-b7ac8e9ccc75,45.0,3.0,30.0,60.0,15.0,10.0,15.0,,,2016-10-27 11:00:23.381442048
0873507b-572b-4018-93f7-124dbd53b438,14.0,4.0,180.0,180.0,30.0,14.0,1095.0,no,,2016-10-27 11:00:23.623318016
09303ca5-9923-467b-9ac4-78617e71ce58,7.0,3.0,3.0,60.0,30.0,360.0,0.0,,,2016-10-27 11:00:23.962720000
096573df-3dae-43cc-8300-a0c285138f57,120.0,30.0,365.0,1120.0,60.0,180.0,2000.0,n/a,,2016-10-27 11:00:24.112005888
0a0d0298-822c-4b51-ad68-7dd710583868,30.0,30.0,60.0,90.0,1.0,1.0,0.0,,,2016-10-27 11:00:25.141428992
0a1a2285-898f-45e0-a1fd-f3544002ccd3,15.0,3.0,90.0,300.0,30.0,15.0,60.0,"Mr. Riad Salemeh and the release of Circular 331 made the game true in the Lebanese echo system, thank you",,2016-10-27 11:00:25.541538048
0a3b5333-ce11-4c97-8c4e-2becb71b7e93,90.0,16.0,10.0,60.0,40.0,30.0,365.0,,,2016-10-27 11:00:26.052726016
0aac25b5-5869-46fb-a416-27be3190df23,14.0,3.0,90.0,180.0,30.0,20.0,,,,2016-10-27 11:00:26.395080960
0b4790d1-4d7a-4493-a8a1-b293e512a57d,7.0,3.0,0.0,180.0,90.0,90.0,0.0,,,2016-10-27 11:00:26.544892928
0b50a813-f22d-4f0b-a925-2a5ffc81ffb7,14.0,7.0,1095.0,1095.0,30.0,60.0,2030.0,NO,,2016-10-27 11:00:27.024972032
