userid,edgeid,from,to,label,founder_status,date_start,date_end,degree,major,job_level,job_function,num_interactions,num_connections,host_role,investment_type,amount,last_updated,last_retrieved
00663fdd-eaf7-4869-8388-180694397c14,16f083f8-7ffd-40c4-aedd-c344f065589e,6ceaa299-13c4-48ae-9032-fd6669857b27,fe9b8660-1452-45da-a813-d3d4d9aba816,attended,,,,,,,,,4.0,,,,,2016-10-27 11:00:20.976870912
00663fdd-eaf7-4869-8388-180694397c14,ed0c4130-1589-4ab5-8ccc-96b42668a067,6ceaa299-13c4-48ae-9032-fd6669857b27,ea32044f-687e-44e0-b1ca-a90ee9062a41,founded,,,,,,,technical,,,,,,,2016-10-27 11:00:20.976870912
00663fdd-eaf7-4869-8388-180694397c14,9f753329-a561-4573-9537-ff9be1afa647,6ceaa299-13c4-48ae-9032-fd6669857b27,76701301-e05c-4045-91a9-8ca13f2caf1d,member of,,2016-01-01 00:00:00.000000000,,,,,,5.0,,,,,,2016-10-27 11:00:20.976870912
00663fdd-eaf7-4869-8388-180694397c14,10d585a2-df8f-4e34-afed-fe4224e1d381,6ceaa299-13c4-48ae-9032-fd6669857b27,b2ad0b69-5cb8-4726-8396-d3d10b1ecd5b,studied at,,2013-01-01 00:00:00.000000000,,bachelor,information technology,,,,,,,,,2016-10-27 11:00:20.976870912
00663fdd-eaf7-4869-8388-180694397c14,d97f413c-1a1d-4f8c-b6eb-1320ed40ea7b,6ceaa299-13c4-48ae-9032-fd6669857b27,522d893e-4d41-4034-89f3-49042e846964,member of,,2011-02-01 00:00:00.000000000,,,,,,5.0,,,,,,2016-10-27 11:00:20.976870912
00663fdd-eaf7-4869-8388-180694397c14,336039b8-77f5-4650-bdb5-51c8b3e0cba0,6ceaa299-13c4-48ae-9032-fd6669857b27,3fe867d8-e1e5-4997-af1e-cf0d22530835,worked at,,2008-01-01 00:00:00.000000000,,,,freelancer,both,,,,,,,2016-10-27 11:00:20.976870912
02abc5e9-9994-477a-b863-8581cb859c18,25b953d4-0393-488a-8906-c9851a1c1316,fb56b19b-88e5-47e3-b8d5-d143bdad5cc6,1243e92d-8eaf-4f1e-816e-ec1188a55a94,studied at,,2013-02-01 00:00:00.000000000,2017-06-01 00:00:00.000000000,bachelor,information technology,,,,,,,,,2016-10-27 11:00:21.238118912
02abc5e9-9994-477a-b863-8581cb859c18,9a0b4250-d189-4fb4-99bb-69a2d12d05d1,fb56b19b-88e5-47e3-b8d5-d143bdad5cc6,63ba22c9-26f8-4537-a60f-8a8d163993cc,attended,,,,,,,,,10.0,,,,,2016-10-27 11:00:21.238118912
02abc5e9-9994-477a-b863-8581cb859c18,79105df2-dbfd-4ee1-a2b8-d18da767aa90,fb56b19b-88e5-47e3-b8d5-d143bdad5cc6,1243e92d-8eaf-4f1e-816e-ec1188a55a94,studied at,,2013-02-01 00:00:00.000000000,2017-06-01 00:00:00.000000000,bachelor,information technology,,,,,,,,,2016-10-27 11:00:21.238118912
02e3d025-189f-4f3c-a640-6a571558f695,9107ed68-bcf6-48ee-8f0c-4a8eac7401ca,4e45affd-fcf4-44af-ac81-4006869dd754,a1cd9ce6-c66a-4089-8277-4ff65d1441f7,studied at,,2011-10-01 00:00:00.000000000,2014-06-01 00:00:00.000000000,bachelor,economics,,,,,,,,,2016-10-27 11:00:21.382906880
0338f765-8d07-4345-ae88-31b460d9fbf0,ecdb1ad3-3c4a-4615-999e-a4faf15be803,62f04437-5a53-4824-b3a7-a4554e154edd,e5a8b884-0cb1-4b93-9c43-6706df2f9f31,mentored,,2006-01-01 00:00:00.000000000,2007-12-01 00:00:00.000000000,,,,,4.0,,,,,,2016-10-27 11:00:21.444116992
0338f765-8d07-4345-ae88-31b460d9fbf0,f3ca87a6-0693-424a-87db-46ea19f6afc3,a3b93c9f-71af-43aa-8550-75ff1da4917d,ab6df409-a8d0-4db2-838d-133fdab34778,hosted,,2015-07-01 00:00:00.000000000,2015-08-01 00:00:00.000000000,,,,,,,primary,,,,2016-10-27 11:00:21.444116992
0338f765-8d07-4345-ae88-31b460d9fbf0,050bcd83-346e-4460-91db-5d5784a3d9ab,62f04437-5a53-4824-b3a7-a4554e154edd,02407d78-4b6c-4e60-9714-af3c8b32dbf7,worked at,,1985-01-01 00:00:00.000000000,1988-12-01 00:00:00.000000000,,,analyst,technical,,,,,,,2016-10-27 11:00:21.444116992
0338f765-8d07-4345-ae88-31b460d9fbf0,9fb2195e-86bf-4edc-ab4a-2e9730476d0b,62f04437-5a53-4824-b3a7-a4554e154edd,931687f1-9c83-45fb-8c3f-aa15cbe380c5,worked at,,2000-01-01 00:00:00.000000000,2006-12-01 00:00:00.000000000,,,analyst,technical,,,,,,,2016-10-27 11:00:21.444116992
