userid,supportdev,smartmoney,startupcreation,fosteringedu,changeculture,fundingimpact,supportimpact,last_updated,last_retrieved
02abc5e9-9994-477a-b863-8581cb859c18,4,4,3,5,5,0,Yes,,2016-10-27 11:00:21.238118912
051823b9-1deb-4fff-b1cc-9d4ff9eeb1fc,,,,,,,,,2016-10-27 11:00:21.875623936
056a6b8c-9f92-42e8-85cf-2876c20bea1d,3,4,4,4,4,No,No,,2016-10-27 11:00:22.237839872
05adbcd0-c812-4a68-a295-2dce0a8a1cb7,4,4,4,3,3,0,0,,2016-10-27 11:00:22.480904960
07987d94-587c-41f1-9ad5-b7ac8e9ccc75,3,4,4,4,4,No,0,,2016-10-27 11:00:23.381442048
0a1a2285-898f-45e0-a1fd-f3544002ccd3,5,5,5,4,4,Yes,Yes,,2016-10-27 11:00:25.541538048
0b98440a-75bd-4bee-81da-579008b46c14,4,4,3,4,4,Yes,Yes,,2016-10-27 11:00:27.313844992
0d2ea2dd-4f9c-4bfc-a1a6-b653f5257278,,,,,,,,,2016-10-27 11:00:27.435834112
0fea6e41-5a77-4c60-b217-caca963551f7,5,3,3,3,3,0,0,,2016-10-27 11:00:29.559207936
161f5f8a-b885-44ef-816a-18d3d755bce6,4,3,4,3,5,Yes,Yes,,2016-10-27 11:00:33.207760896
179a9cf1-40a4-42d6-acb5-bf84b36b3781,5,3,4,3,4,No,0,,2016-10-27 11:00:33.750257920
1a2952f3-56ca-430b-b574-5b092006a8cb,0,5,5,3,5,Yes,0,,2016-10-27 11:00:35.895834112
227350ae-26b5-4257-88ed-ac04f7528591,0,0,0,0,0,0,0,,2016-10-27 11:00:38.698577920
23d19ac0-998b-45ef-bac7-d80109da8fdd,5,5,5,5,5,Yes,Yes,,2016-10-27 11:00:39.484973056
2629e5a4-ffbb-4c04-8da2-46932180dc38,5,5,5,4,4,Yes,Yes,,2016-10-27 11:00:40.354597888
2745db0e-9490-4581-b6b3-094a346762b0,4,4,5,5,5,No,0,,2016-10-27 11:00:40.827952128
2bae9e09-eae0-43ab-b942-61ca41b897c5,5,5,5,5,5,Yes,Yes,,2016-10-27 11:00:42.908366080
2c07770e-a5dc-4fbe-b853-4757ef520df8,4,4,4,3,3,Yes,Yes,,2016-10-27 11:00:43.354516992
2e2b68b7-e5d2-428c-8868-95e07fbcaf92,4,3,5,4,4,Yes,Yes,,2016-10-27 11:00:44.917120000
2f2ba98c-40a3-4734-9c0d-ef4413b11576,4,4,5,5,5,Yes,Yes,,2016-10-27 11:00:46.466251008
30a85a1e-026b-4f7b-b262-05475fd7736e,4,0,4,3,4,0,Yes,,2016-10-27 11:00:47.636775936
32565e05-1c9f-4f51-9b33-9e1bd47f975f,5,5,5,5,5,Yes,No,,2016-10-27 11:00:49.127892992
32dd93f5-3159-4ed2-a0a1-466e30973b6d,4,4,3,4,3,Yes,Yes,,2016-10-27 11:00:49.881936896
330cd436-1a1b-48b4-8cc4-716ab56c0cde,5,4,4,5,3,No,Yes,,2016-10-27 11:00:50.392890112
337366f6-3a4a-4fd3-8652-c22a157d763c,5,3,4,4,3,Yes,Yes,,2016-10-27 11:00:50.932038912
3444b5e1-859e-43f6-86fb-c15de1aeea51,0,0,4,4,4,0,0,,2016-10-27 11:00:51.691123968
