"from","to","degree"
"fb56b19b-88e5-47e3-b8d5-d143bdad5cc6","1243e92d-8eaf-4f1e-816e-ec1188a55a94","bachelor"
"4e45affd-fcf4-44af-ac81-4006869dd754","a1cd9ce6-c66a-4089-8277-4ff65d1441f7","bachelor"
"ad551cf4-b6ff-4aa8-8fda-f3efa31151cd","48c96055-1a4f-47af-96fd-ef6cb02fdc8a","bachelor"
"c2460b34-3fde-42c4-af35-295117061b11","54c86230-5517-430b-8058-42e6d3aa34ab","bachelor"
"12c171f5-499d-46e4-98c4-928042f534f2","02faf07d-0b91-455a-bd51-e08c8ed2ffa6","bachelor"
"469e8d41-d1d2-4899-90ab-6feefd788931","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"30f5342d-7e30-46a2-9b5f-4020be97ef7d","bdb9c645-beb4-4b10-a227-ba8c44ed7863","bachelor"
"945131e0-abd2-4f5a-8d29-98fa5343cae6","8d2bf46c-30ac-44fe-a57f-ed178639010d","bachelor"
"1fedccaa-0015-4c09-8740-72d68ab17d2f","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"0e03a445-e643-40c8-b26a-7e3d747dc434","university-486","bachelor"
"b17ce465-23b8-4f6d-ae43-32ca83fd2a01","6b155c38-2de9-4538-b39d-b29e7ba2fe2f","bachelor"
"35146083-b7b2-4ca4-a6ff-840588fcc17b","university-486","bachelor"
"d0b10ba4-eae0-45f9-9685-b2ba559bc316","767f4161-ce90-4b21-ad01-c20b9b8adb30","bachelor"
"20a1342c-d281-40d8-99c1-81af80536d87","university-486","bachelor"
"be39ff10-876d-4cdd-8c43-e0a2b77cab0e","bdb9c645-beb4-4b10-a227-ba8c44ed7863","bachelor"
"aaddf07f-e59d-4dbf-bbdd-470b48b61eea","bdb9c645-beb4-4b10-a227-ba8c44ed7863","bachelor"
"27370c70-458a-40d8-8daf-1e86cc4caf09","208383d9-81bd-4c1a-a4e8-bf010a478c4b","bachelor"
"dc11daa2-d2a3-4b4b-88d7-7fb0e1a133b9","university-486","bachelor"
"14f16497-4e0c-430f-9834-38556c559a3e","6b155c38-2de9-4538-b39d-b29e7ba2fe2f","bachelor"
"5121c56c-7773-4f2c-8482-b6e71a81bb45","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"d067fd90-b908-4396-80b1-5b94afae9901","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"005d7dbc-f61b-41d9-a8d3-06ceb49aa8d3","3f1d582d-e454-4e51-b0c2-63f5478194fd","bachelor"
"1fb2e6bb-a8f2-4722-b1ce-bea083557308","b4a77262-ff9b-4162-868e-99a1a06c6885","bachelor"
"9294f066-4c44-44dd-b9f0-b5e0221f753f","university-486","bachelor"
"009e22ef-331d-4c35-91e2-6d7ffc63f6af","university-486","bachelor"
"c8d698c0-4aa1-423f-a0a1-276a3be75202","university-486","bachelor"
"3b965ad1-8e67-48de-85d4-fe0ce42af04e","university-486","bachelor"
"a84cb241-1635-414a-8aa1-23f56ca20985","96dfb2e9-75e8-409d-957d-7a0d2fefd7ba","bachelor"
"90e43cf7-34cb-4aa7-ab02-f4a67b76da5c","c977f234-3759-4b00-901c-e5502868fcfd","bachelor"
"80257fa0-5b5d-4c64-95eb-82c118ded512","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"b2ff7605-87e4-4e47-9166-7d42f926e100","dadccf84-6097-4c66-a3f6-ba819d43ef62","bachelor"
"8d20edf1-39dd-4d2f-b41f-8c2eacc402bf","208383d9-81bd-4c1a-a4e8-bf010a478c4b","bachelor"
"199224ed-1991-4b34-b898-3642d86fd39f","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"99065dcb-303f-48b8-bae6-3ec3d9c7b546","ddd9aa23-b349-488e-b93f-27a56d2ad756","bachelor"
"d70e76b5-acb9-480f-92ea-7aca178d9453","9707d4f8-dc6f-4da2-a6b1-b7687344a465","bachelor"
"5cd8b86a-2443-43f5-8292-159a5e2cf93a","c3e30d6f-5e5e-477a-b975-4180fd34a9a6","bachelor"
"5ee1a245-973d-40d2-96db-259f39815b9c","ed02bcd6-aca4-44c5-9cfc-71c5e6a9cb2f","bachelor"
"70334b9e-c3ac-42c9-a8f6-f2f42e4b1c2b","university-486","bachelor"
"05403d9a-46a0-40af-8fe7-65da12f8f2dc","6b155c38-2de9-4538-b39d-b29e7ba2fe2f","bachelor"
"9a241e8b-4251-42c6-bcd0-cbb024319500","university-486","bachelor"
"a0ea3a6f-ece0-4df1-99f9-33e3b817f899","b4266b25-e6d3-45ab-a40d-f187a1fe52ea","bachelor"
"aed37b9e-4f34-4fc2-bf12-924deadb39e4","university-486","bachelor"
"37cfbd28-d047-4fe7-a785-7b8e3ac38758","university-486","bachelor"
"d9daf418-bbd6-4bfa-a2b7-8f8ef52a2c01","university-486","bachelor"
"59926251-cadc-4f85-b457-1dfc15f26727","5e8cf70d-88b5-45fb-b31f-029dad0b0c57","bachelor"
"59926251-cadc-4f85-b457-1dfc15f26727","dfb0be96-c8e3-4db2-8052-35afa162e053","bachelor"
"bbb22266-0e27-4457-8565-87c7d862f0a0","0c44d74c-3bce-4a3e-a3dd-4c17c8b90a7c","bachelor"
"ffc21f0c-7188-41c7-ba84-affa042d8010","208383d9-81bd-4c1a-a4e8-bf010a478c4b","bachelor"
"ffc21f0c-7188-41c7-ba84-affa042d8010","university-486","bachelor"
"f610181e-05d6-42b6-bc98-fccd37cc1653","6b155c38-2de9-4538-b39d-b29e7ba2fe2f","bachelor"
"57e6d6f7-80d9-4ec9-96f6-649e6287b551","5f72bc9f-8278-4b16-9134-5a87dec066b5","bachelor"
"7066f675-e079-406d-888a-6825fb97a1d1","9325b60d-215c-4233-a638-6b47cac0a6b6","bachelor"
"7066f675-e079-406d-888a-6825fb97a1d1","university-486","bachelor"
"5455bb42-6dae-4a64-836a-ad42779b8396","89680f89-aea3-446c-b8d6-54422e7ddba2","bachelor"
"a83d1356-7ff3-4922-a75b-870de37fb00b","university-486","bachelor"
"5dd42f79-cd9b-4049-abe1-541be162cc94","1243e92d-8eaf-4f1e-816e-ec1188a55a94","bachelor"
"f4908aa9-54d5-4de5-9f5e-c55f310dcd23","b4a77262-ff9b-4162-868e-99a1a06c6885","bachelor"
"f4908aa9-54d5-4de5-9f5e-c55f310dcd23","university-486","bachelor"
"3883f3ad-f872-4392-be54-51b716ab1a31","university-486","bachelor"
"dbe39083-1bd6-47d8-91d9-482e6ca63b39","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"15bb92c5-4828-463d-b7e5-a7e7d8486bd7","003e03ff-c1d5-46d5-9c2b-2600773d1b91","bachelor"
"70423686-eb7f-4f35-b000-f976d12d63b8","e03b3490-9fca-4fdb-91b4-6fa1d6473bf9","bachelor"
"f8abb1d4-0778-4f7c-8604-0fb1349c355f","university-486","bachelor"
"d497462f-55da-49de-852b-0c4a7ad86650","48c96055-1a4f-47af-96fd-ef6cb02fdc8a","bachelor"
"3fc717f5-4546-4424-941a-4f8187856f22","83b56f07-4f1a-4394-905a-a6d9f783456e","bachelor"
"3fc717f5-4546-4424-941a-4f8187856f22","university-486","bachelor"
"55c6eee6-b4a9-4946-8480-1d6f0fef0c97","659ea1bd-711d-4a46-9c23-ce8f32932c55","bachelor"
"13151242-0d52-4c84-936b-1e42ab562bb6","33668892-515d-4a7c-aa5f-b843d446a004","bachelor"
"31b2cb0f-6ac2-46a9-a134-5ba90c17b846","university-486","bachelor"
"fd702893-9349-45ee-b44b-4c077484346e","0d8856fa-6d96-4004-83e7-7ea50f2afd43","bachelor"
"f9f5f885-837f-4565-baf3-7ba2ac758f14","university-486","bachelor"
"435d8084-a2d4-4bef-9d88-8b4ae7c67701","bdb9c645-beb4-4b10-a227-ba8c44ed7863","bachelor"
"dc4f348a-c0db-4502-87b9-70c1a1740a2a","1e0e8d88-6cdd-4bdd-b965-9380afc9b6f7","bachelor"
"dc4f348a-c0db-4502-87b9-70c1a1740a2a","558a730a-f04e-469e-af66-7aa4ab8126b6","bachelor"
"dc4f348a-c0db-4502-87b9-70c1a1740a2a","6308fd8f-f042-4d03-8cd7-054840a85d45","bachelor"
"2f5f6235-fc4c-4027-8513-e6ad4cb4aa02","b1aed6c9-06f0-4006-8b8b-6e696f4b6ef2","bachelor"
"ee187ea1-5618-447a-9f0d-f57e59fc9992","university-486","bachelor"
"4f82ac57-cdea-402a-936d-c67e0adcc0fb","1939c00b-f079-45e7-b590-fa1ed3d0ca2c","bachelor"
"9cf56c46-6291-4738-82fc-a40ba7af2e92","661d4319-f15c-4e9b-9b31-8427d39c8611","bachelor"
"1627b9c6-ef0a-475a-a5fe-febab3164809","a4cee7f5-408d-4f8b-9d3d-e5165d34378c","bachelor"
"29b14a31-2b6f-4f39-b3cb-93cc56d49b21","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"076ab732-137c-4482-a7fd-ed9f1b8fb4d4","003e03ff-c1d5-46d5-9c2b-2600773d1b91","bachelor"
"48ffc6a0-1fff-4314-8ce6-2d8f539c3d0a","e03b3490-9fca-4fdb-91b4-6fa1d6473bf9","bachelor"
"bc9e52f0-f531-484e-874f-c20a853bb5f5","university-486","bachelor"
"69bcf8ae-9913-460f-9c9d-40822f59850e","university-184","bachelor"
"abd3d6e2-d28a-485b-bf12-47e94906b58e","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"93ba7eca-8ae7-4d50-bc9b-a4611cf1c641","b4a77262-ff9b-4162-868e-99a1a06c6885","bachelor"
"5f8163c1-aec0-4f40-8283-b2f97314c77a","university-486","bachelor"
"5311d0e6-5cef-4a3a-bb92-c5978d0384dc","31e84326-025b-418a-a4b9-6025e0d5fe30","bachelor"
"dcf8703b-e920-4dda-8a4c-bb1255b8bcab","dc1d5100-e7b6-47ba-99aa-997b945d2197","bachelor"
"7c9be988-a25c-4dc1-ae00-222946aacf71","5528c654-90f3-4305-b456-d211f7030ba2","bachelor"
"7c9be988-a25c-4dc1-ae00-222946aacf71","b4a77262-ff9b-4162-868e-99a1a06c6885","bachelor"
"ad521663-6e02-490e-b3be-32c882df45f4","university-486","bachelor"
"6ba0a4ea-7c6c-44e8-8675-fda0b50ff9cd","university-486","bachelor"
"fb904685-da88-41dc-a682-c2a6eae772e8","d1284059-e4c1-437e-8178-973d3802b4eb","bachelor"
"6e712651-6237-4362-bd0b-9085d06f92b3","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"423e404b-a2a4-4774-b5e2-dc31884bbc05","a8d65f2b-2745-4ecb-a770-fa68606497c1","bachelor"
"e9664403-e3fc-4440-ade7-3af8f6aee65c","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"e08ff467-df9c-4082-9c6e-8d03f5d21fa6","university-486","bachelor"
"ccf45064-8aa1-4998-8586-873af49c2f2c","university-486","bachelor"
"2943a7b5-35a1-4f32-a989-053ae55ea36e","042267aa-a7b3-4f7e-8bbf-650d9b657cd9","bachelor"
"3fce83b7-b0f3-4ed5-89fd-01f4a1bea75f","be185dd8-d97c-4ba4-bdd3-77dd87aa6855","bachelor"
"593c764b-d7f8-4ff8-8fc0-e2390086d2d9","university-486","bachelor"
